name,slug,category,tvl_usd,change_1d,change_7d,change_1m,chains_count,chain,collected_date,is_outlier,category_clean,tvl_millions,tvl_billions,growth_score,tvl_rank,growth_rank,size_bracket
Bridgers,bridgers,Dexs,2911758.760562769,62.866579616839914,13.795698719711694,0,16,Sui,2025-08-22,False,Others,2.911758760562769,0.002911758760562769,19.471165283223833,48.0,2.0,$1M-$10M
Kriya CLMM,kriya-clmm,Dexs,2842537.8246142236,-4.2467594303927285,-3.044318296701917,0,1,Sui,2025-08-22,False,Others,2.8425378246142237,0.0028425378246142237,-2.371511034429504,49.0,31.0,$1M-$10M
Full Sail,full-sail,Dexs,1330706.2073720256,4.295275304630081,124.90954919033524,0,1,Sui,2025-08-22,False,Others,1.3307062073720255,0.0013307062073720257,63.31382965609364,50.0,1.0,$1M-$10M
Strater,strater,Yield,1240224.8243242735,13.667987610109291,26.192656394843,0,1,Sui,2025-08-22,False,Yield Farming,1.2402248243242735,0.0012402248243242736,15.829925719443358,51.0,3.0,$1M-$10M
DipCoin AMM,dipcoin-amm,Dexs,1161296.7544407956,-2.354309217710693,4.821047510339653,0,1,Sui,2025-08-22,False,Others,1.1612967544407957,0.0011612967544407957,1.939661911627688,52.0,12.0,$1M-$10M
Haedal AMM Protocol,haedal-amm-protocol,Dexs,1132559.7291907924,-2.1743914388146663,-4.768529486526859,0,1,Sui,2025-08-22,False,Others,1.1325597291907925,0.0011325597291907924,-2.8191430310263628,53.0,35.0,$1M-$10M
FlowX V2,flowx-v2,Dexs,1008842.0287023528,-3.5367568327243646,-9.42586780251034,0,1,Sui,2025-08-22,False,Others,1.0088420287023527,0.0010088420287023528,-5.420285267800042,54.0,60.0,$1M-$10M
Winter Walrus,winter-walrus,Liquid Staking,985603.9111715108,-6.024948129953017,-4.9955115597651485,0,1,Sui,2025-08-22,False,Liquid Staking,0.9856039111715108,0.000985603911171511,-3.702745405873178,55.0,41.0,<$1M
Sudo Perps,sudo-perps,Derivatives,936674.455517778,-3.2518139005524205,-51.92271279519189,0,1,Sui,2025-08-22,False,Derivatives,0.9366744555177781,0.0009366744555177781,-26.61171917770643,56.0,74.0,<$1M
Liquid Agents,liquid-agents,Liquid Staking,672092.2852454844,-39.030422993052646,-48.15753730864423,0,1,Sui,2025-08-22,False,Liquid Staking,0.6720922852454845,0.0006720922852454845,-31.884853252932643,57.0,75.0,<$1M
ZO Perps,zo-perps,Derivatives,600718.7534479573,-6.091756767920771,29.69778932154983,0,1,Sui,2025-08-22,False,Derivatives,0.6007187534479573,0.0006007187534479573,13.630543307190761,58.0,5.0,<$1M
Streamflow,streamflow,Payments,542712.9715634348,-0.4222986301800233,-14.073292381792768,0,6,Sui,2025-08-22,False,Others,0.5427129715634348,0.0005427129715634348,-7.121105916932389,59.0,65.0,<$1M
Bluefin Legacy,bluefin-legacy,Derivatives,407309.0435853956,-0.0789055533358293,-3.4823890427907713,0,2,Sui,2025-08-22,False,Derivatives,0.4073090435853956,0.0004073090435853956,-1.7569756320625516,60.0,25.0,<$1M
Kriya Strats,kriya-strats,Yield,337326.886400492,-33.85759785271942,-28.08300756216117,0,1,Sui,2025-08-22,False,Yield Farming,0.33732688640049197,0.000337326886400492,-20.81302335162447,61.0,73.0,<$1M
Kriya AMM,kriya-amm,Dexs,314848.8601237536,-3.2308802166361517,-8.420955843000272,0,1,Sui,2025-08-22,False,Others,0.3148488601237536,0.0003148488601237536,-4.856653964827366,62.0,53.0,<$1M
SuiDollar,suidollar,Basis Trading,249676.05380255,-0.0101019092608538,-0.0098018819613372,0,1,Sui,2025-08-22,False,Others,0.24967605380255,0.00024967605380255003,-0.00692132283283936,63.0,18.0,<$1M
Nemo Floating Assets,nemo-floating-assets,Yield,235250.2268358019,-2.2232616084386763,,0,1,Sui,2025-08-22,False,Yield Farming,0.2352502268358019,0.0002352502268358019,-0.4446523216877353,64.0,22.0,<$1M
ABEx Finance,abex-finance,Derivatives,60677.50342534861,-2.920606692242117,-5.918310505052844,0,1,Sui,2025-08-22,False,Derivatives,0.06067750342534861,6.067750342534861e-05,-3.5432765909748456,65.0,38.0,<$1M
Sui Pearl,sui-pearl,Yield Aggregator,57999.894848086726,-3.312417257875694,-7.284602646777444,0,1,Sui,2025-08-22,False,Others,0.05799989484808673,5.799989484808673e-05,-4.304784774963861,66.0,48.0,<$1M
Weiss Finance,weiss-finance,CDP,22958.166,-4.481792717086847,-5.625622618511159,0,1,Sui,2025-08-22,False,Others,0.022958166000000002,2.2958166e-05,-3.709169852672949,67.0,42.0,<$1M
Jackson Protocol,jackson-protocol,Prediction Market,22779.8094954973,-2.749144506671115,-8.936117091438177,0,1,Sui,2025-08-22,False,Others,0.022779809495497298,2.27798094954973e-05,-5.017887447053312,68.0,55.0,<$1M
AnimeSwap,animeswap,Dexs,20272.060766867304,-1.377342822560408,-4.52930260793751,0,2,Sui,2025-08-22,False,Others,0.020272060766867304,2.0272060766867305e-05,-2.5401198684808364,69.0,32.0,<$1M
BaySwap,bayswap,Dexs,18532.58349475577,-1.9388550679251892,-3.922246574052238,0,1,Sui,2025-08-22,False,Others,0.01853258349475577,1.853258349475577e-05,-2.348894300611157,70.0,30.0,<$1M
Sui Rewards Me,sui-rewards-me,Dexs,18527.448384597177,-10.996303120435954,-23.22155699909908,0,1,Sui,2025-08-22,False,Others,0.01852744838459718,1.8527448384597176e-05,-13.81003912363673,71.0,71.0,<$1M
Interest Protocol-SUI,interest-protocol-sui,Dexs,9282.23744463248,-1.9006657692056308,-5.0784004134432905,0,1,Sui,2025-08-22,False,Others,0.009282237444632479,9.28223744463248e-06,-2.9193333605627716,72.0,36.0,<$1M
Interest Protocol Stable Swap,interest-protocol-stable-swap,Dexs,6065.744356990778,-3.9601593676441382,-35.349461489135706,0,1,Sui,2025-08-22,False,Others,0.006065744356990779,6.0657443569907784e-06,-18.46676261809668,73.0,72.0,<$1M
Poseidollar,poseidollar,Algo-Stables,1176.9958778988907,-0.0032660546976757,-0.2468137753919137,0,1,Sui,2025-08-22,False,Others,0.0011769958778988906,1.1769958778988907e-06,-0.124060098635492,74.0,19.0,<$1M
DegenHive LST,degenhive-lst,Liquid Staking,665.6444192267801,-3.3802816901408335,-6.872767235060607,0,1,Sui,2025-08-22,False,Liquid Staking,0.0006656444192267801,6.656444192267801e-07,-4.11243995555847,75.0,46.0,<$1M
DegenHive AMM,degenhive-amm,Dexs,340.44129480996605,-3.6522209308764104,-8.655502157147822,0,1,Sui,2025-08-22,False,Others,0.0003404412948099661,3.404412948099661e-07,-5.058195264749193,76.0,56.0,<$1M
DegenHive Memepad,degenhive-memepad,Launchpad,84.18152733963001,-3.3802816901408335,-7.79569892473117,0,1,Sui,2025-08-22,False,Launchpad,8.418152733963001e-05,8.418152733963001e-08,-4.573905800393751,77.0,49.0,<$1M
