name,category,tvl_usd,change_1d,change_7d,change_1m,blockchain,category_clean,tvl_millions,tvl_rank,tvl_billions,tvl_log,size_category
Joule Finance,Lending,6700758.666573072,-1.4983291618447936,-11.917060979086584,0,Aptos,Lending,6.700758666573072,34.0,0.006700758666573072,6.826123976738631,$1M-$10M
Fastex,CEX,6224512.566142707,79.17854406466768,187.65457757161636,0,Aptos,Others,6.224512566142707,35.0,0.006224512566142707,6.79410534803719,$1M-$10M
Merkle Trade,Derivatives,4991619.717727865,-0.0147142243619953,-1.1843711868022666,0,Aptos,Derivatives,4.991619717727865,36.0,0.004991619717727865,6.698241491581565,$1M-$10M
Echo Liquid Staking,Liquid Staking,2935218.4884502986,-1.363284799497265,-6.775735210193503,0,Aptos,Liquid Staking,2.9352184884502988,37.0,0.0029352184884502987,6.467640434304806,$1M-$10M
Bridgers,Dexs,2911758.760562769,62.866579616839914,13.795698719711694,0,Aptos,Others,2.911758760562769,38.0,0.002911758760562769,6.464155390800221,$1M-$10M
Moar Market,Leveraged Farming,1723353.8419008406,-0.9627314896766564,-0.4616216257378909,0,Aptos,Others,1.7233538419008407,39.0,0.0017233538419008407,6.2363744566748816,$1M-$10M
Auro Finance,CDP,1635413.732423925,0.6860661797158087,-13.24812054960674,0,Aptos,Others,1.635413732423925,40.0,0.0016354137324239252,6.213627640163607,$1M-$10M
Mirage Protocol,Derivatives,869430.3156343482,-1.338779476350453,-6.944813579246741,0,Aptos,Derivatives,0.8694303156343482,41.0,0.0008694303156343482,5.939234779267716,<$1M
Earnium,Dexs,689746.9861240855,17.697092970816982,79.18144005951692,0,Aptos,Others,0.6897469861240855,42.0,0.0006897469861240855,5.838689811488971,<$1M
Streamflow,Payments,542712.9715634348,-0.4222986301800233,-14.073292381792768,0,Aptos,Others,0.5427129715634348,43.0,0.0005427129715634348,5.734570201920543,<$1M
Emojicoin.fun,Launchpad,463696.8397182791,-1.8336059125308568,-6.666532378039577,0,Aptos,Launchpad,0.4636968397182791,44.0,0.00046369683971827906,5.666234136013144,<$1M
Sushi Aptos,Dexs,438716.98397158895,-0.5826024766394653,-3.2172284925098324,0,Aptos,Others,0.438716983971589,45.0,0.00043871698397158896,5.642184447494452,<$1M
ABEL Finance,Lending,330885.68204095,24.896468612735603,-3.6618259040165526,0,Aptos,Lending,0.33088568204095,46.0,0.00033088568204095,5.519677974941232,<$1M
Econia,Dexs,246984.65788641,0.0,-0.0078806376724145,0,Aptos,Others,0.24698465788641,47.0,0.00024698465788640996,5.392669976732486,<$1M
Ditto,Liquid Staking,224814.88074447677,-1.3003861834760926,-6.589507997197927,0,Aptos,Liquid Staking,0.2248148807444767,48.0,0.00022481488074447677,5.351825054278358,<$1M
MoneyFi,Yield Aggregator,143884.3861634684,4.49832115369037,2.3984943828879324,0,Aptos,Others,0.1438843861634684,49.0,0.0001438843861634684,5.158013668356625,<$1M
Tortuga,Liquid Staking,81439.13258573881,-0.8449266110055333,-7.629077984604976,0,Aptos,Liquid Staking,0.0814391325857388,50.0,8.143913258573882e-05,4.910833139314475,<$1M
Argo,CDP,76318.39033179944,-1.050667631498527,-6.201894037707234,0,Aptos,Others,0.0763183903317994,51.0,7.631839033179944e-05,4.882629201876996,<$1M
Aptin Finance V1,Lending,50914.40839323837,-0.0400250870030163,-0.0810170505904324,0,Aptos,Lending,0.0509144083932383,52.0,5.091440839323837e-05,4.706840701790243,<$1M
Aptoswap,Dexs,46345.309298243905,-0.4082569207654813,-3.1130356724352453,0,Aptos,Others,0.0463453092982439,53.0,4.63453092982439e-05,4.666005784888774,<$1M
TsunamiX,Derivatives,35779.49571600065,-88.81697789920129,-89.21710623371224,0,Aptos,Derivatives,0.0357794957160006,54.0,3.5779495716000655e-05,4.553634215233545,<$1M
Thetis Perps,Derivatives,34558.312792783625,-12.326071750383107,-24.47041644979096,0,Aptos,Derivatives,0.0345583127927836,55.0,3.455831279278363e-05,4.538552531183283,<$1M
AnimeSwap,Dexs,20272.060766867304,-1.377342822560408,-4.52930260793751,0,Aptos,Others,0.0202720607668673,56.0,2.0272060766867305e-05,4.3068978993682725,<$1M
BaptSwap V2.1,Dexs,19295.053863591573,-1.294084287664802,-9.046316806480732,0,Aptos,Others,0.0192950538635915,57.0,1.9295053863591573e-05,4.285445995274761,<$1M
AptosLaunch,Launchpad,12934.083959236032,-2.214720090518071,-7.152125539647372,0,Aptos,Launchpad,0.012934083959236,58.0,1.2934083959236031e-05,4.111735675763299,<$1M
HoustonSwap,Dexs,10256.066897925326,-0.2344436730602979,-1.4979541833366028,0,Aptos,Others,0.0102560668979253,59.0,1.0256066897925326e-05,4.010980844985299,<$1M
Obric,Dexs,4912.759473387228,-1.1644991079019746,-4.290282903620906,0,Aptos,Others,0.0049127594733872,60.0,4.912759473387228e-06,3.6913255017823325,<$1M
Eternal Finance,Yield,3845.6049479512744,,,0,Aptos,Yield Farming,0.0038456049479512,61.0,3.845604947951274e-06,3.5849646679063594,<$1M
MovePump,Launchpad,3242.625098548001,-1.565995525727061,-6.194997728141601,0,Aptos,Launchpad,0.003242625098548,62.0,3.242625098548001e-06,3.5108967399021704,<$1M
AGDEX,Derivatives,1108.732709520985,-0.791187214758537,-16.540174461822033,0,Aptos,Derivatives,0.0011087327095209,63.0,1.108732709520985e-06,3.0448268601514603,<$1M
BaptSwap V1,Dexs,684.919403287673,-0.7872763862782222,-5.588135649708846,0,Aptos,Others,0.0006849194032876,64.0,6.84919403287673e-07,2.8356394696431058,<$1M
Jujube Finance,Dexs,139.87996521747002,-2.1522283038279824,-5.994632101830405,0,Aptos,Others,0.0001398799652174,65.0,1.3987996521747e-07,2.1457555156456234,<$1M
AtoDEX,Dexs,88.30632682726,,,0,Aptos,Others,8.830632682725999e-05,66.0,8.830632682726e-08,1.9459918203129372,<$1M
BaptSwap V2,Dexs,86.45442796302001,-0.6341120649099992,-4.4414299081579856,0,Aptos,Others,8.645442796302001e-05,67.0,8.645442796302002e-08,1.9367872415736007,<$1M
MoveFlow,Payments,73.44474536725902,41.768364192395126,311.02070923468074,0,Aptos,Others,7.344474536725901e-05,68.0,7.344474536725902e-08,1.8659607294709009,<$1M
